id,upc,product_name,brand_name,recall_date,reason,source,severity,distribution_pattern,plain_language_summary,created_at
1001,830825001247,"gregory s foods bag full of cookies white chocolate macadamia nut frozen cookie dough gregory's foods, inc","Gregory's Foods, Inc",12/19/25,Undeclared peanuts.,fda,Class I,"[MN, ND, NE, WI]",,4/8/26
1002,,atwater s holiday cookie tin one roof llc,One Roof LLC,12/21/25,"Undeclared tree nut allergens: almonds, pecans, and walnuts.",fda,Class I,[MD],,4/8/26
1003,,"swiss chocolate cake mix b.c. williams bakery service, inc","B.C. Williams Bakery Service, Inc",12/23/25,Undeclared Milk Allergen,fda,Class I,[USA],,4/8/26
1004,,"spice cake mix b.c. williams bakery service, inc","B.C. Williams Bakery Service, Inc",12/23/25,Undeclared Milk Allergen,fda,Class I,[USA],,4/8/26
1005,,"bread and roll mix b.c. williams bakery service, inc","B.C. Williams Bakery Service, Inc",12/23/25,Undeclared Milk Allergen,fda,Class I,[USA],,4/8/26
1006,933553301334,australian greenlip abalone frozen southern rocklobster ltd usa,Southern Rocklobster LTD USA,12/24/25,Potential Listeria Monocytogenes contamination,fda,Class II,[CA],,4/8/26
1007,,all human food products distributed from the firm including but not limited to snack foods candy gum cooking oil canned fruit and beans honey dietary supplements peanut butter oatmeal rice dry peas and beans ramen cold cereal hot sauce lemon juice cracker,GOLD STAR DISTRIBUTION INC,12/26/25,Potential exposure of rodents and rodent activity in the distribution center.,fda,Class II,"[IN, MN, ND]",,4/8/26
1008,,"brussel sprouts kale slaw wfm purchasing, lp","WFM Purchasing, LP",12/31/25,Undeclared Fish and Egg Allergen,fda,Class I,"[NY, NJ, VA]",,4/8/26
1009,807814001243,herbsforever gastro care ayruvedic herbal supplement herbs forever,Herbs Forever,1/6/26,Potential undeclared allergen ingredient (Wheat),fda,Class I,[USA],,4/8/26
1010,807814006224,herbsforever hingwastika churna ayruvedic herbal supplement herbs forever,Herbs Forever,1/6/26,Potential undeclared allergen ingredient (Wheat),fda,Class I,[USA],,4/8/26
